"x"
"    lhs                                                                    rhs                                                       support      confidence lift        "
"3   {Sensor}                                                            => {android.intent.action.HEADSET_PLUG}                      5.672890e-06 1.0000000  8.557136e+02"
"4   {android.intent.action.MEDIA_BAD_REMOVAL}                           => {FragmentActivity}                                        5.672890e-06 1.0000000  2.448972e+01"
"5   {android.speech.tts.engine.GET_SAMPLE_TEXT}                         => {Object}                                                  5.672890e-06 1.0000000  2.139648e+00"
"6   {android.nfc.cardemulation.action.ACTION_CHANGE_DEFAULT}            => {Object}                                                  5.672890e-06 1.0000000  2.139648e+00"
"7   {Worker}                                                            => {android.intent.action.VIEW}                              5.672890e-06 1.0000000  1.874091e+00"
"8   {android.intent.action.MEDIA_CHECKING}                              => {Activity}                                                5.672890e-06 1.0000000  6.277671e+00"
"9   {Layer}                                                             => {android.intent.action.VIEW}                              5.672890e-06 1.0000000  1.874091e+00"
"10  {ViewFlipper}                                                       => {android.intent.action.VIEW}                              5.672890e-06 1.0000000  1.874091e+00"
"11  {android.intent.action.PACKAGE_DATA_CLEARED}                        => {Object}                                                  5.672890e-06 1.0000000  2.139648e+00"
"12  {android.service.notification.NotificationListenerService}          => {Object}                                                  5.672890e-06 1.0000000  2.139648e+00"
"13  {Channel}                                                           => {android.intent.action.VIEW}                              5.672890e-06 1.0000000  1.874091e+00"
"14  {DataList}                                                          => {android.intent.action.INSERT}                            5.672890e-06 1.0000000  2.152344e+02"
"15  {Device}                                                            => {android.intent.action.VIEW}                              5.672890e-06 1.0000000  1.874091e+00"
"16  {Objec}                                                             => {android.settings.SECURITY_SETTINGS}                      5.672890e-06 1.0000000  2.382122e+03"
"17  {ActionBarActivit}                                                  => {android.intent.action.BATTERY_CHANGED}                   5.672890e-06 1.0000000  1.704807e+02"
"18  {android.app.action.PROVISION_MANAGED_PROFILE}                      => {Activity}                                                5.672890e-06 1.0000000  6.277671e+00"
"19  {Account}                                                           => {android.intent.action.VIEW}                              5.672890e-06 1.0000000  1.874091e+00"
"20  {SlidingDrawer}                                                     => {android.intent.action.VIEW}                              5.672890e-06 1.0000000  1.874091e+00"
"21  {Utils}                                                             => {android.intent.action.VIEW}                              5.672890e-06 1.0000000  1.874091e+00"
"22  {VMouseEventListener}                                               => {android.intent.action.VIEW}                              5.672890e-06 1.0000000  1.874091e+00"
"23  {Core}                                                              => {android.intent.action.VIEW}                              5.672890e-06 1.0000000  1.874091e+00"
"24  {WebResourceResponse}                                               => {android.intent.action.GET_CONTENT}                       5.672890e-06 1.0000000  9.190667e+01"
"25  {android.intent.action.MANAGE_NETWORK_USAGE}                        => {Object}                                                  5.672890e-06 1.0000000  2.139648e+00"
"26  {ServiceEx}                                                         => {android.intent.action.SCREEN_OFF}                        5.672890e-06 1.0000000  6.363791e+02"
"27  {android.intent.action.MEDIA_SHARED}                                => {Activity}                                                5.672890e-06 1.0000000  6.277671e+00"
"28  {android.intent.action.GTALK_CONNECTED}                             => {Object}                                                  5.672890e-06 1.0000000  2.139648e+00"
"29  {android.intent.action.GTALK_DISCONNECTED}                          => {Object}                                                  5.672890e-06 1.0000000  2.139648e+00"
"30  {Permission}                                                        => {android.settings.USAGE_ACCESS_SETTINGS}                  5.672890e-06 1.0000000  3.389942e+03"
"31  {PreferenceGroup}                                                   => {android.intent.action.VIEW}                              5.672890e-06 1.0000000  1.874091e+00"
"32  {CacheRequest}                                                      => {android.intent.action.MEDIA_SCANNER_SCAN_FILE}           5.672890e-06 1.0000000  1.012504e+02"
"33  {android.net.wifi.p2p.PEERS_CHANGED}                                => {ListFragment}                                            5.672890e-06 1.0000000  3.815519e+02"
"34  {HostedFragment}                                                    => {android.intent.action.VIEW}                              5.672890e-06 1.0000000  1.874091e+00"
"35  {AbstractList}                                                      => {android.intent.action.SEND}                              5.672890e-06 1.0000000  5.080029e+00"
"36  {StatusBarNotif}                                                    => {android.intent.action.VIEW}                              5.672890e-06 1.0000000  1.874091e+00"
"37  {android.app.action.DEVICE_ADMIN_ENABLED}                           => {Activity}                                                5.672890e-06 1.0000000  6.277671e+00"
"38  {android.intent.action.MY_PACKAGE_REPLACED}                         => {BroadcastReceiver}                                       5.672890e-06 1.0000000  1.266358e+02"
